# p2pgpu step 0.15 - chunking spike (rule R4)
# device=Apple M4 Pro backend=metal
# total work held CONSTANT: 2097152 invocations x 32768 iterations
# each chunk submitted separately with a yield between
# NOTE: build under native-release; sanitizers corrupt timings
chunks,iterations_per_chunk,wall_ms,max_chunk_ms,overhead_pct
1,32768,290.370,290.370,+0.00
2,16384,290.603,145.512,+0.08
4,8192,292.122,73.388,+0.60
8,4096,293.225,36.836,+0.98
16,2048,297.173,18.674,+2.34
32,1024,304.176,9.624,+4.75
64,512,319.905,5.186,+10.17
# per_chunk_fixed_cost_ms=0.469
# minimum_chunks_for_r4=2 max_chunk_ms=145.5 cost=+0.08%
# finest_split=64 chunks max_chunk_ms=5.2 r4_250ms_ceiling=PASS
