worker_id,task_index,predicted_ms,actual_ms,ratio,correction
5,1,250.0,556.0,2.224,1.3672
6,1,250.0,603.0,2.412,1.4236
10,1,250.0,603.0,2.412,1.4236
12,1,250.0,603.0,2.412,1.4236
8,1,250.0,603.0,2.412,1.4236
9,1,250.0,603.0,2.412,1.4236
11,1,301.578,733.0,2.4305486474477584,1.4292
1,1,382.143,733.0,1.9181301240635051,1.2754
4,1,470.256,771.0,1.6395325099520262,1.1919
6,2,1404.888,1433.0,1.0200101360393141,1.3025
10,2,1404.888,1472.0,1.047770356071089,1.3109
5,2,1462.843,1521.0,1.0397561460799278,1.269
12,2,1404.889,1500.0,1.0677000104634602,1.3168
8,2,1404.888,1576.0,1.121797609489155,1.3331
9,2,1404.888,1576.0,1.121797609489155,1.3331
11,2,1399.418,1449.0,1.035430443227113,1.311
1,2,1568.087,1599.0,1.0197138296535844,1.1987
4,2,1678.05,1694.0,1.0095050803015404,1.1372
6,3,1535.481,1574.0,1.0250859502657474,1.2193
10,3,1525.725,1577.0,1.0336069737337987,1.2277
12,3,1518.799,1594.0,1.0495134642569557,1.2366
8,3,1500.307,1557.0,1.0377875994713082,1.2445
9,3,1500.308,1557.0,1.037786907754941,1.2445
5,3,1576.085,1661.0,1.0538771703302803,1.2044
11,3,1525.501,1660.0,1.0881671005132085,1.2442
1,3,1668.444,1687.0,1.011121739776702,1.1424
4,3,1758.778,1781.0,1.012634909010688,1.0998
3,1,250.0,5047.0,20.188,3.7
2,1,250.0,5221.0,20.884,3.7
7,1,250.0,5486.0,21.944,3.7
11,4,1607.482,1644.0,1.0227175172101461,1.1777
6,4,1640.296,1876.0,1.1436960158410432,1.1966
10,4,1629.091,1834.0,1.1257811871773893,1.1971
12,4,1617.291,1790.0,1.106789068881234,1.1977
8,4,1607.099,1751.0,1.0895408434701286,1.198
9,4,1607.1,1751.0,1.089540165515525,1.198
5,4,1660.522,1895.0,1.1412074034550581,1.1855
1,4,1750.636,1838.0,1.0499041491206624,1.1147
4,4,1818.516,1847.0,1.015663321081585,1.0746
11,5,1698.164,1866.0,1.0988337993268025,1.1541
6,5,1671.383,1889.0,1.130201755073493,1.1767
10,5,1670.691,1920.0,1.1492250811191298,1.1827
12,5,1669.893,1949.0,1.1671406491314114,1.1885
8,5,1669.453,1990.0,1.1920072023590962,1.1962
9,5,1669.454,1990.0,1.1920064883488855,1.1962
5,5,1687.094,1912.0,1.1333097029566817,1.1698
1,5,1794.236,1813.0,1.01045793307012,1.0834
4,5,1861.231,1889.0,1.0149196956208015,1.0567
11,6,1732.997,1756.0,1.0132735371151824,1.1118
6,6,1699.683,1733.0,1.0196018904701643,1.1296
10,6,1690.983,1753.0,1.036675117372558,1.1389
12,6,1682.766,1724.0,1.0245037040206422,1.1393
8,6,1671.961,1750.0,1.0466751317763991,1.1513
9,6,1671.961,1750.0,1.0466751317763991,1.1513
5,6,1709.662,1760.0,1.0294432466768284,1.1277
1,6,1846.017,1865.0,1.0102832205770587,1.0615
4,6,1892.746,1911.0,1.0096441889191683,1.0426
11,7,1798.834,1821.0,1.0123224266385893,1.082
6,7,1770.596,1846.0,1.0425867899848413,1.1035
10,7,1756.044,1794.0,1.0216144925753567,1.1037
12,7,1755.441,1857.0,1.057853838437179,1.1149
8,7,1737.102,1790.0,1.0304518675357002,1.1151
9,7,1737.103,1865.0,1.0736266070578429,1.128
5,7,1773.508,1826.0,1.029597836604064,1.0983
1,7,1884.171,1906.0,1.0115854664995905,1.0465
4,7,1918.354,1936.0,1.0091985108066603,1.0326
6,8,1812.463,1848.0,1.0196070209433241,1.0783
11,8,1848.466,1876.0,1.0148955945091769,1.0619
10,8,1812.036,1902.0,1.0496480202380085,1.0875
12,8,1793.921,1839.0,1.0251287542762473,1.088
8,8,1793.601,1931.0,1.0766051089400597,1.1035
9,8,1773.006,1856.0,1.0468097682692556,1.1037
5,8,1821.037,1890.0,1.0378701805619546,1.0802
1,8,1911.118,1933.0,1.0114498424482423,1.036
4,8,1936.95,1953.0,1.0082862231859366,1.0253
6,9,1854.751,1908.0,1.0287095141072844,1.0634
10,9,1839.07,1915.0,1.0412871723207926,1.0736
11,9,1883.499,1969.0,1.0453947679292634,1.0569
12,9,1838.316,1950.0,1.060753428681467,1.0798
8,9,1812.359,1858.0,1.0251832004586288,1.08
9,9,1812.149,1952.0,1.0771741175808391,1.0957
5,9,1851.588,1918.0,1.0358675904142822,1.0669
1,9,1930.519,1960.0,1.0152710229736148,1.0298
4,9,1950.702,1969.0,1.0093802128669576,1.0205
3,2,540.541,10922.0,20.205682825169596,5.59
2,2,540.541,11076.0,20.4905825830048,5.59
7,2,540.541,10992.0,20.33518271509469,5.59
6,10,1880.705,1940.0,1.0315280705905499,1.0539
10,10,1862.821,1920.0,1.030694844002725,1.0608
12,10,1852.207,1916.0,1.034441614787116,1.0662
11,10,1892.298,1951.0,1.0310215410046408,1.0491
8,10,1851.802,1956.0,1.0562684347462634,1.0729
9,10,1825.291,1862.0,1.0201113137576419,1.073
5,10,1874.646,1928.0,1.0284608400732724,1.0553
1,10,1942.172,1977.0,1.0179325003140813,1.0262
4,10,1959.815,1984.0,1.0123404505017055,1.0181
6,11,1897.785,1939.0,1.0217174232065276,1.0442
10,11,1885.446,1941.0,1.029464646561079,1.0514
