t_sec,workers,peer_total,coordinator_total,cache_total,peer_delta,coordinator_delta,cache_delta,egress_bytes
0.0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,256704
2.0,1,0,0,0,0,0,0,256704
3.0,1,0,0,0,0,0,0,256704
4.0,2,0,0,0,0,0,0,513408
5.0,2,0,1,0,0,1,0,513408
6.0,2,0,1,0,0,0,0,513408
7.0,3,0,2,0,0,1,0,513408
8.1,3,0,2,0,0,0,0,513408
9.1,3,0,2,0,0,0,0,513408
10.1,4,0,2,0,0,0,0,513408
11.1,4,0,2,0,0,0,0,513408
12.1,4,1,2,1,1,0,1,513408
13.1,5,1,2,1,0,0,0,513408
14.1,5,1,2,1,0,0,0,513408
15.1,5,1,2,1,0,0,0,513408
16.1,6,2,2,2,1,0,1,513408
17.1,6,2,2,4,0,0,2,513408
18.1,6,2,2,4,0,0,0,513408
19.1,7,2,2,5,0,0,1,513408
20.1,7,2,2,5,0,0,0,513408
21.1,7,2,2,7,0,0,2,513408
22.1,8,2,2,7,0,0,0,513408
23.1,8,3,2,15,1,0,8,513408
24.1,8,3,2,21,0,0,6,513408
25.1,8,3,2,23,0,0,2,513408
26.1,8,3,2,23,0,0,0,513408
27.1,8,3,2,24,0,0,1,513408
28.1,8,4,2,25,1,0,1,513408
29.1,8,5,2,26,1,0,1,513408
30.2,8,5,2,26,0,0,0,513408
31.2,8,5,2,29,0,0,3,513408
32.2,8,5,2,32,0,0,3,513408
33.2,8,6,2,33,1,0,1,513408
34.2,8,6,2,34,0,0,1,513408
35.2,8,6,2,34,0,0,0,513408
36.2,8,6,2,34,0,0,0,513408
37.2,8,6,2,37,0,0,3,513408
38.2,8,6,2,39,0,0,2,513408
39.2,8,6,2,43,0,0,4,513408
40.2,8,6,2,46,0,0,3,513408
41.2,8,6,2,48,0,0,2,513408
42.2,8,6,2,51,0,0,3,513408
43.2,8,6,2,54,0,0,3,513408
44.2,8,6,2,54,0,0,0,513408
45.2,8,6,2,54,0,0,0,513408
46.2,8,6,2,54,0,0,0,513408
47.2,8,6,2,61,0,0,7,513408
48.2,8,6,2,63,0,0,2,513408
49.2,8,6,2,65,0,0,2,513408
50.2,8,6,2,65,0,0,0,513408
51.2,8,6,2,67,0,0,2,513408
52.2,8,6,2,70,0,0,3,513408
53.2,8,6,2,72,0,0,2,513408
54.2,8,6,2,74,0,0,2,513408
55.2,8,6,2,74,0,0,0,513408
56.3,8,6,2,75,0,0,1,513408
57.3,8,6,2,83,0,0,8,513408
58.3,8,6,2,86,0,0,3,513408
59.3,8,6,2,87,0,0,1,513408
60.3,8,6,2,87,0,0,0,513408
61.3,8,6,2,89,0,0,2,513408
62.3,8,6,2,92,0,0,3,513408
63.3,8,6,2,92,0,0,0,513408
64.3,8,6,2,95,0,0,3,513408
65.3,8,6,2,96,0,0,1,513408
66.3,8,6,2,96,0,0,0,513408
67.3,8,6,2,100,0,0,4,513408
68.3,8,6,2,107,0,0,7,513408
69.3,8,6,2,109,0,0,2,513408
70.3,8,6,2,110,0,0,1,513408
71.3,8,6,2,110,0,0,0,513408
72.3,8,6,2,113,0,0,3,513408
73.3,8,6,2,117,0,0,4,513408
74.3,8,6,2,119,0,0,2,513408
