# produced by tools/experiment_ready.py
# rev=39dcda6 date=2026-08-25
# PROVENANCE: REAL (real GPU workers, one host, loopback)
# scene=scenes/dense.scene size=384x288 spp=32768 workers=2,4,8 stagger=2.0s repeats=3
workers,p2p,n_ready,never_ready,median_ms,mean_ms,max_ms,median_grant_ms,from_peer,from_coordinator,rep
2,off,2,0,598.5,598.5,662,471.5,0,2,0
4,off,4,0,2430.0,2850.5,5993,995.5,0,4,0
8,off,8,0,5711.5,4683.2,7181,2112.5,0,8,0
2,on,2,0,608.5,608.5,683,465.5,1,1,0
4,on,4,0,2764.0,2921.8,5638,918.5,3,1,0
8,on,8,0,5748.0,7468.8,18211,2067.0,7,1,0
2,off,2,0,588.0,588.0,648,463.0,0,2,1
4,off,4,0,2327.0,2506.8,4837,964.0,0,4,1
8,off,8,0,5756.0,4780.8,7045,2205.5,0,8,1
2,on,2,0,627.5,627.5,723,467.0,1,1,1
4,on,4,0,2934.0,3084.2,5934,911.5,3,1,1
8,on,8,0,7948.0,7847.4,21444,2193.0,7,1,1
2,off,2,0,590.5,590.5,650,464.0,0,2,2
4,off,4,0,2364.0,2623.5,5234,817.0,0,4,2
8,off,8,0,5905.5,4663.9,6929,2217.5,0,8,2
2,on,2,0,644.5,644.5,699,495.5,1,1,2
4,on,4,0,3822.0,3992.0,7792,1695.0,3,1,2
8,on,8,0,6468.0,5544.9,9933,2022.0,7,1,2
