# produced by tools/final_demo.py from https://p2pgpu.fly.dev
# PROVENANCE: REAL (deployed coordinator, physical devices)
t_sec,workers,devices_seen,tiles_done,total_tasks,units_remaining,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames
0.1,0,0,0,0,393216,0,0,0,0,0
1.2,0,0,0,0,393216,0,0,0,0,0
2.2,0,0,0,0,393216,0,0,0,0,0
3.3,0,0,0,0,393216,0,0,0,0,0
4.4,0,0,0,0,393216,0,0,0,0,0
5.4,0,0,0,0,393216,0,0,0,0,0
6.5,0,0,0,0,393216,0,0,0,0,0
7.6,0,0,0,0,393216,0,0,0,0,0
8.7,0,0,0,0,393216,0,0,0,0,0
9.9,0,0,0,0,393216,0,0,0,0,0
10.9,0,0,0,0,393216,0,0,0,0,0
12.0,0,0,0,0,393216,0,0,0,0,0
13.1,0,0,0,0,393216,0,0,0,0,0
14.1,0,0,0,0,393216,0,0,0,0,0
15.2,0,0,0,0,393216,0,0,0,0,0
16.3,0,0,0,0,393216,0,0,0,0,0
17.4,0,0,0,0,393216,0,0,0,0,0
18.4,0,0,0,0,393216,0,0,0,0,0
19.5,0,0,0,0,393216,0,0,0,0,0
20.6,0,0,0,0,393216,0,0,0,0,0
21.7,0,0,0,0,393216,0,0,0,0,0
22.7,0,0,0,0,393216,0,0,0,0,0
23.8,0,0,0,0,393216,0,0,0,0,0
24.9,0,0,0,0,393216,0,0,0,0,0
26.0,0,0,0,0,393216,0,0,0,0,0
27.0,0,0,0,0,393216,0,0,0,0,0
28.1,0,0,0,0,393216,0,0,0,0,0
29.2,0,0,0,0,393216,0,0,0,0,0
30.3,0,0,0,0,393216,0,0,0,0,0
31.3,0,0,0,0,393216,0,0,0,0,0
32.4,0,0,0,0,393216,0,0,0,0,0
33.5,0,0,0,0,393216,0,0,0,0,0
34.6,0,0,0,0,393216,0,0,0,0,0
35.6,0,0,0,0,393216,0,0,0,0,0
36.7,0,0,0,0,393216,0,0,0,0,0
37.8,0,0,0,0,393216,0,0,0,0,0
