policy,liar_fraction,collude,lies_submitted,accepted_checked,accepted_wrong,tasks,grants,overhead_factor,detected,detection_rate,blacklisted,inconclusive,wall_s
none,0.05,0,11,212,11,212,220,1.038,0,0.0,0,0,20.5
none,0.1,0,20,209,20,209,219,1.048,0,0.0,0,0,26.5
none,0.2,0,55,272,55,272,280,1.029,0,0.0,0,0,24.5
none,0.4,0,86,213,86,213,221,1.038,0,0.0,0,0,20.5
fixed2x,0.05,0,5,210,0,210,432,2.057,5,1.0,1,0,46.9
fixed2x,0.1,0,7,203,0,203,420,2.069,7,1.0,2,0,41.4
fixed2x,0.2,0,11,183,0,183,386,2.109,11,1.0,4,0,48.5
fixed2x,0.4,0,26,172,0,172,379,2.203,26,1.0,8,2,56.5
adaptive,0.05,0,3,190,0,190,359,1.889,3,1.0,1,0,34.6
adaptive,0.1,0,6,183,0,183,346,1.891,6,1.0,2,0,36.3
adaptive,0.2,0,11,192,0,192,352,1.833,11,1.0,4,0,38.0
adaptive,0.4,0,29,179,0,179,329,1.838,29,1.0,8,2,42.2
