# E6_egress.csv — produced by tools/experiment_e6.py
# rev=bff2c7f date=2026-08-24 build=build/native-release
# PROVENANCE: REAL (real GPU workers, one host, loopback)
# scene=scenes/dense.scene size=384x288 spp=262144 stagger=4.0s seconds=30.0 repeats=3
workers,p2p,egress_bytes,from_peer,from_coordinator,from_cache,fetches,workers_seen,tasks_done,rep
1,off,256704,0,1,11,1,1,12,0
2,off,513408,0,2,10,2,2,12,0
4,off,1026816,0,4,29,4,4,33,0
6,off,1540224,0,6,40,6,6,46,0
8,off,2053632,0,8,49,8,8,57,0
10,off,2567040,0,10,64,10,10,74,0
1,on,256704,0,1,11,1,1,12,0
2,on,256704,1,1,10,2,2,12,0
4,on,256704,3,1,27,4,4,31,0
6,on,256704,5,1,40,6,6,46,0
8,on,256704,7,1,51,8,8,59,0
10,on,256704,9,1,67,10,10,77,0
1,off,256704,0,1,11,1,1,12,1
2,off,513408,0,2,10,2,2,12,1
4,off,1026816,0,4,28,4,4,32,1
6,off,1540224,0,6,40,6,6,46,1
8,off,2053632,0,8,52,8,8,60,1
10,off,2567040,0,10,67,10,10,77,1
1,on,256704,0,1,11,1,1,12,1
2,on,256704,1,1,10,2,2,12,1
4,on,256704,3,1,30,4,4,34,1
6,on,256704,5,1,41,6,6,47,1
8,on,256704,7,1,51,8,8,59,1
10,on,256704,9,1,63,10,10,73,1
1,off,256704,0,1,11,1,1,12,2
2,off,513408,0,2,10,2,2,12,2
4,off,1026816,0,4,28,4,4,32,2
6,off,1540224,0,6,40,6,6,46,2
8,off,2053632,0,8,50,8,8,58,2
10,off,2567040,0,10,57,10,10,67,2
1,on,256704,0,1,11,1,1,12,2
2,on,256704,1,1,10,2,2,12,2
4,on,256704,3,1,28,4,4,32,2
6,on,256704,5,1,40,6,6,46,2
8,on,256704,7,1,50,8,8,58,2
10,on,256704,9,1,61,10,10,71,2
