# produced by tools/crossmachine_capture.py
# rev=d5f54cf date=2026-08-23
# PROVENANCE: REAL (live cross-machine session 2026-08-11)
# 2 machines; ice_servers=0, so no peer fetch succeeded — see results/crossmachine-session-1.md
t_sec,workers,queue_depth,tasks_done,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames,workers_ready,slowest_ms_to_ready
0.0,0,0,0,0,0,0,0,0,0,-1
1.0,0,0,0,0,0,0,0,0,0,-1
2.0,0,0,0,0,0,0,0,0,0,-1
3.0,0,0,0,0,0,0,0,0,0,-1
4.0,0,0,0,0,0,0,0,0,0,-1
5.0,0,0,0,0,0,0,0,0,0,-1
6.0,0,0,0,0,0,0,0,0,0,-1
7.0,0,0,0,0,0,0,0,0,0,-1
8.0,0,0,0,0,0,0,0,0,0,-1
9.0,0,0,0,0,0,0,0,0,0,-1
10.1,0,0,0,0,0,0,0,0,0,-1
11.1,0,0,0,0,0,0,0,0,0,-1
12.1,0,0,0,0,0,0,0,0,0,-1
13.1,0,0,0,0,0,0,0,0,0,-1
14.1,0,0,0,0,0,0,0,0,0,-1
15.1,0,0,0,0,0,0,0,0,0,-1
16.1,0,0,0,0,0,0,0,0,0,-1
17.1,0,0,0,0,0,0,0,0,0,-1
18.1,0,0,0,0,0,0,0,0,0,-1
19.1,0,0,0,0,0,0,0,0,0,-1
20.1,1,0,0,0,0,0,0,0,0,-1
21.1,1,0,0,0,0,0,214688,0,0,-1
22.1,1,0,3,0,2,1,214688,0,1,1633
23.1,1,0,5,0,2,3,214688,0,1,1633
24.1,1,0,6,0,2,4,214688,0,1,1633
25.1,1,0,7,0,2,5,214688,0,1,1633
26.1,1,0,8,0,2,6,214688,0,1,1633
27.1,1,0,9,0,2,7,214688,0,1,1633
28.1,1,0,10,0,2,8,214688,0,1,1633
29.1,1,0,11,0,2,9,214688,0,1,1633
30.1,1,0,12,0,2,10,214688,0,1,1633
31.1,1,0,13,0,2,11,214688,0,1,1633
32.2,1,0,13,0,2,11,214688,0,1,1633
33.2,1,0,14,0,2,12,214688,0,1,1633
34.2,1,0,15,0,2,13,214688,0,1,1633
35.2,2,0,15,0,2,13,214688,0,1,1633
36.2,2,0,16,0,2,14,214688,0,1,1633
37.2,2,0,16,0,2,14,214688,0,1,1633
38.2,2,0,16,0,2,14,214688,0,1,1633
39.2,2,0,16,0,2,14,214688,0,1,1633
40.2,2,0,16,0,2,14,214688,0,1,1633
41.2,2,0,16,0,2,14,214688,0,1,1633
42.2,2,0,16,0,2,14,214688,0,1,1633
43.2,2,0,16,0,2,14,214688,0,1,1633
44.2,2,0,17,0,3,14,429376,0,2,9222
45.2,2,0,18,0,3,15,429376,0,2,9222
46.2,2,0,18,0,3,15,429376,0,2,9222
47.2,2,0,20,0,3,17,429376,0,2,9222
48.2,2,0,22,0,3,19,429376,0,2,9222
49.2,2,0,23,0,3,20,429376,0,2,9222
50.2,2,0,23,0,3,20,429376,0,2,9222
51.2,2,0,24,0,3,21,429376,0,2,9222
52.2,2,0,24,0,3,21,429376,0,2,9222
53.2,2,0,24,0,3,21,429376,0,2,9222
54.2,2,0,24,0,3,21,429376,0,2,9222
55.2,2,0,24,0,3,21,429376,0,2,9222
56.3,2,0,25,0,3,22,429376,0,2,9222
57.3,2,0,26,0,3,23,429376,0,2,9222
58.3,2,0,26,0,3,23,429376,0,2,9222
59.3,2,0,26,0,3,23,429376,0,2,9222
60.3,2,0,27,0,3,24,429376,0,2,9222
61.3,2,0,27,0,3,24,429376,0,2,9222
62.3,2,0,27,0,3,24,429376,0,2,9222
63.3,2,0,28,0,3,25,429376,0,2,9222
64.3,2,0,30,0,3,27,429376,0,2,9222
65.3,2,0,30,0,3,27,429376,0,2,9222
66.3,2,2,30,0,3,27,429376,0,2,9222
67.3,2,1,31,0,3,28,429376,0,2,9222
68.3,2,0,32,0,3,29,429376,0,2,9222
69.3,2,0,33,0,3,30,429376,0,2,9222
70.3,2,0,33,0,3,30,429376,0,2,9222
71.3,2,0,33,0,3,30,429376,0,2,9222
72.3,2,0,33,0,3,30,429376,0,2,9222
