# produced by tools/crossmachine_capture.py
# rev=519b008 date=2026-08-24
# PROVENANCE: REAL (live cross-machine session; see the adapters block in the -final.json)
# source=https://p2pgpu.fly.dev label=fly-deploy
t_sec,workers,queue_depth,tasks_done,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames,workers_ready,slowest_ms_to_ready
0.2,1,0,0,0,0,0,0,0,0,-1
1.3,1,0,0,0,0,0,0,0,0,-1
2.4,1,0,0,0,0,0,0,0,0,-1
3.5,1,0,0,0,0,0,0,0,0,-1
4.6,1,0,0,0,0,0,0,0,0,-1
5.7,1,0,0,0,0,0,0,0,0,-1
6.8,1,0,0,0,0,0,0,0,0,-1
7.9,1,0,0,0,0,0,0,0,0,-1
9.0,1,0,0,0,0,0,0,0,0,-1
10.1,1,0,0,0,0,0,0,0,0,-1
11.2,1,0,0,0,0,0,0,0,0,-1
