# produced by tools/crossmachine_capture.py
# rev=bff2c7f date=2026-08-24
# PROVENANCE: REAL (live cross-machine session; see the adapters block in the -final.json)
# source=https://p2pgpu.fly.dev label=fly-render
t_sec,workers,queue_depth,tasks_done,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames,workers_ready,slowest_ms_to_ready
0.1,0,0,0,0,0,0,0,0,0,-1
1.2,1,0,0,0,0,0,0,0,0,-1
2.3,1,0,8,0,2,6,6336,0,1,550
3.3,1,0,12,0,2,10,6336,0,1,550
4.4,1,0,14,0,2,12,6336,0,1,550
5.5,1,0,15,0,2,13,6336,0,1,550
6.6,1,0,16,0,2,14,6336,0,1,550
7.6,1,0,17,0,2,15,6336,0,1,550
8.7,1,0,18,0,2,16,6336,0,1,550
9.8,1,0,19,0,2,17,6336,0,1,550
10.8,1,0,20,0,2,18,6336,0,1,550
11.9,1,0,21,0,2,19,6336,0,1,550
13.0,1,0,22,0,2,20,6336,0,1,550
14.1,1,0,23,0,2,21,6336,0,1,550
15.1,1,0,24,0,2,22,6336,0,1,550
16.2,1,0,26,0,2,24,6336,0,1,550
17.3,1,0,29,0,2,27,6336,0,1,550
18.3,1,0,30,0,2,28,6336,0,1,550
19.5,1,0,30,0,2,28,6336,0,1,550
20.5,1,0,30,0,2,28,6336,0,1,550
21.6,1,0,30,0,2,28,6336,0,1,550
22.7,1,0,30,0,2,28,6336,0,1,550
23.8,1,0,30,0,2,28,6336,0,1,550
24.8,1,0,30,0,2,28,6336,0,1,550
25.9,1,0,30,0,2,28,6336,0,1,550
27.0,1,0,30,0,2,28,6336,0,1,550
28.1,1,0,30,0,2,28,6336,0,1,550
29.1,1,0,30,0,2,28,6336,0,1,550
30.2,1,0,30,0,2,28,6336,0,1,550
31.3,1,0,30,0,2,28,6336,0,1,550
32.4,1,0,30,0,2,28,6336,0,1,550
33.5,1,0,30,0,2,28,6336,0,1,550
34.6,1,0,30,0,2,28,6336,0,1,550
35.7,1,0,30,0,2,28,6336,0,1,550
36.7,1,0,30,0,2,28,6336,0,1,550
37.8,1,0,30,0,2,28,6336,0,1,550
38.9,1,0,30,0,2,28,6336,0,1,550
40.0,1,0,30,0,2,28,6336,0,1,550
41.0,1,0,30,0,2,28,6336,0,1,550
42.1,1,0,30,0,2,28,6336,0,1,550
43.2,1,0,30,0,2,28,6336,0,1,550
44.3,1,0,30,0,2,28,6336,0,1,550
45.3,1,0,30,0,2,28,6336,0,1,550
46.4,1,0,30,0,2,28,6336,0,1,550
47.5,1,0,30,0,2,28,6336,0,1,550
48.6,1,0,30,0,2,28,6336,0,1,550
49.6,1,0,30,0,2,28,6336,0,1,550
50.7,1,0,30,0,2,28,6336,0,1,550
51.8,1,0,30,0,2,28,6336,0,1,550
52.9,1,0,30,0,2,28,6336,0,1,550
54.0,1,0,30,0,2,28,6336,0,1,550
55.0,1,0,30,0,2,28,6336,0,1,550
56.1,1,0,30,0,2,28,6336,0,1,550
57.2,1,0,30,0,2,28,6336,0,1,550
58.2,1,0,30,0,2,28,6336,0,1,550
59.3,1,0,30,0,2,28,6336,0,1,550
60.4,1,0,30,0,2,28,6336,0,1,550
61.5,1,0,30,0,2,28,6336,0,1,550
62.6,1,0,30,0,2,28,6336,0,1,550
63.7,1,0,30,0,2,28,6336,0,1,550
64.8,1,0,30,0,2,28,6336,0,1,550
65.9,1,0,30,0,2,28,6336,0,1,550
67.0,1,0,30,0,2,28,6336,0,1,550
68.0,1,0,30,0,2,28,6336,0,1,550
69.1,1,0,30,0,2,28,6336,0,1,550
70.2,1,0,30,0,2,28,6336,0,1,550
71.3,1,0,30,0,2,28,6336,0,1,550
72.4,1,0,30,0,2,28,6336,0,1,550
73.4,1,0,30,0,2,28,6336,0,1,550
74.5,1,0,30,0,2,28,6336,0,1,550
75.6,1,0,30,0,2,28,6336,0,1,550
76.7,1,0,30,0,2,28,6336,0,1,550
77.8,1,0,30,0,2,28,6336,0,1,550
78.9,1,0,30,0,2,28,6336,0,1,550
79.9,1,0,30,0,2,28,6336,0,1,550
81.0,1,0,30,0,2,28,6336,0,1,550
82.1,1,0,30,0,2,28,6336,0,1,550
83.2,1,0,30,0,2,28,6336,0,1,550
84.3,1,0,30,0,2,28,6336,0,1,550
85.4,1,0,30,0,2,28,6336,0,1,550
86.5,1,0,30,0,2,28,6336,0,1,550
87.5,1,0,30,0,2,28,6336,0,1,550
88.6,1,0,30,0,2,28,6336,0,1,550
89.7,1,0,30,0,2,28,6336,0,1,550
90.8,1,0,30,0,2,28,6336,0,1,550
91.8,1,0,30,0,2,28,6336,0,1,550
92.9,1,0,30,0,2,28,6336,0,1,550
94.0,1,0,30,0,2,28,6336,0,1,550
95.1,1,0,30,0,2,28,6336,0,1,550
96.2,1,0,30,0,2,28,6336,0,1,550
97.2,1,0,30,0,2,28,6336,0,1,550
98.3,1,0,30,0,2,28,6336,0,1,550
99.4,1,0,30,0,2,28,6336,0,1,550
100.5,1,0,30,0,2,28,6336,0,1,550
101.6,1,0,30,0,2,28,6336,0,1,550
102.6,1,0,30,0,2,28,6336,0,1,550
103.7,1,0,30,0,2,28,6336,0,1,550
104.8,1,0,30,0,2,28,6336,0,1,550
105.9,1,0,30,0,2,28,6336,0,1,550
106.9,1,0,30,0,2,28,6336,0,1,550
108.0,1,0,30,0,2,28,6336,0,1,550
109.1,1,0,30,0,2,28,6336,0,1,550
110.2,1,0,30,0,2,28,6336,0,1,550
111.2,1,0,30,0,2,28,6336,0,1,550
112.3,1,0,30,0,2,28,6336,0,1,550
113.4,1,0,30,0,2,28,6336,0,1,550
114.4,1,0,30,0,2,28,6336,0,1,550
115.5,1,0,30,0,2,28,6336,0,1,550
116.6,1,0,30,0,2,28,6336,0,1,550
117.7,1,0,30,0,2,28,6336,0,1,550
118.8,1,0,30,0,2,28,6336,0,1,550
119.8,1,0,30,0,2,28,6336,0,1,550
121.0,1,0,30,0,2,28,6336,0,1,550
122.0,1,0,30,0,2,28,6336,0,1,550
123.1,1,0,30,0,2,28,6336,0,1,550
124.2,1,0,30,0,2,28,6336,0,1,550
125.3,1,0,30,0,2,28,6336,0,1,550
126.5,1,0,30,0,2,28,6336,0,1,550
127.5,1,0,30,0,2,28,6336,0,1,550
128.6,1,0,30,0,2,28,6336,0,1,550
129.7,1,0,30,0,2,28,6336,0,1,550
130.8,1,0,30,0,2,28,6336,0,1,550
131.9,1,0,30,0,2,28,6336,0,1,550
133.0,1,0,30,0,2,28,6336,0,1,550
134.0,1,0,30,0,2,28,6336,0,1,550
135.1,1,0,30,0,2,28,6336,0,1,550
136.2,1,0,30,0,2,28,6336,0,1,550
137.3,1,0,30,0,2,28,6336,0,1,550
138.4,1,0,30,0,2,28,6336,0,1,550
139.5,1,0,30,0,2,28,6336,0,1,550
140.5,1,0,30,0,2,28,6336,0,1,550
141.6,1,0,30,0,2,28,6336,0,1,550
142.7,1,0,30,0,2,28,6336,0,1,550
143.8,1,0,30,0,2,28,6336,0,1,550
144.9,1,0,30,0,2,28,6336,0,1,550
145.9,1,0,30,0,2,28,6336,0,1,550
147.0,1,0,30,0,2,28,6336,0,1,550
148.1,1,0,30,0,2,28,6336,0,1,550
149.2,1,0,30,0,2,28,6336,0,1,550
150.3,1,0,30,0,2,28,6336,0,1,550
151.4,1,0,30,0,2,28,6336,0,1,550
152.4,1,0,30,0,2,28,6336,0,1,550
153.5,1,0,30,0,2,28,6336,0,1,550
154.6,1,0,30,0,2,28,6336,0,1,550
