t_sec,workers,queue_depth,tasks_done,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames,workers_ready,slowest_ms_to_ready
0.0,0,0,0,0,0,0,0,0,0,-1
1.0,0,0,0,0,0,0,0,0,0,-1
2.0,0,0,0,0,0,0,0,0,0,-1
3.0,0,0,0,0,0,0,0,0,0,-1
4.0,0,0,0,0,0,0,0,0,0,-1
5.0,0,0,0,0,0,0,0,0,0,-1
6.0,0,0,0,0,0,0,0,0,0,-1
7.0,0,0,0,0,0,0,0,0,0,-1
8.0,0,0,0,0,0,0,0,0,0,-1
9.1,0,0,0,0,0,0,0,0,0,-1
10.1,1,0,0,0,0,0,0,0,0,-1
11.1,1,0,0,0,0,0,6336,0,0,-1
12.1,1,0,1,0,1,0,6336,0,1,2360
13.1,1,0,1,0,1,0,6336,0,1,2360
14.1,1,0,2,0,2,0,6336,0,1,2360
15.1,1,0,2,0,2,0,6336,0,1,2360
16.1,1,0,3,0,2,1,6336,0,1,2360
17.1,1,0,3,0,2,1,6336,0,1,2360
18.1,1,0,4,0,2,2,6336,0,1,2360
19.1,1,0,4,0,2,2,6336,0,1,2360
20.1,1,0,4,0,2,2,6336,0,1,2360
21.1,1,0,5,0,2,3,6336,0,1,2360
22.1,1,0,5,0,2,3,6336,0,1,2360
23.1,1,0,6,0,2,4,6336,0,1,2360
24.1,1,0,6,0,2,4,6336,0,1,2360
25.1,1,0,6,0,2,4,6336,0,1,2360
26.1,1,0,6,0,2,4,6336,0,1,2360
27.1,1,0,7,0,2,5,6336,0,1,2360
28.1,1,0,7,0,2,5,6336,0,1,2360
29.1,1,0,7,0,2,5,6336,0,1,2360
30.2,1,0,7,0,2,5,6336,0,1,2360
31.2,1,0,8,0,2,6,6336,0,1,2360
32.2,1,0,8,0,2,6,6336,0,1,2360
33.2,1,0,8,0,2,6,6336,0,1,2360
34.2,1,0,9,0,2,7,6336,0,1,2360
35.2,1,0,9,0,2,7,6336,0,1,2360
36.2,1,0,9,0,2,7,6336,0,1,2360
37.2,1,0,10,0,2,8,6336,0,1,2360
38.2,1,0,10,0,2,8,6336,0,1,2360
39.2,1,0,10,0,2,8,6336,0,1,2360
40.2,1,0,11,0,2,9,6336,0,1,2360
41.2,1,0,11,0,2,9,6336,0,1,2360
42.2,1,0,12,0,2,10,6336,0,1,2360
43.2,1,0,13,0,2,11,6336,0,1,2360
44.2,1,0,15,0,2,13,6336,0,1,2360
45.2,1,0,15,0,2,13,6336,0,1,2360
46.2,1,0,16,0,2,14,6336,0,1,2360
47.2,1,0,16,0,2,14,6336,0,1,2360
48.2,1,0,17,0,2,15,6336,0,1,2360
49.2,1,0,18,0,2,16,6336,0,1,2360
50.3,1,0,20,0,2,18,6336,0,1,2360
51.3,1,0,22,0,2,20,6336,0,1,2360
52.3,1,0,24,0,2,22,6336,0,1,2360
53.3,1,0,27,0,2,25,6336,0,1,2360
54.3,1,0,29,0,2,27,6336,0,1,2360
55.3,1,0,30,0,2,28,6336,0,1,2360
56.3,1,0,30,0,2,28,6336,0,1,2360
57.3,1,0,31,0,2,29,6336,0,1,2360
58.3,1,0,32,0,2,30,6336,0,1,2360
59.3,1,0,33,0,2,31,6336,0,1,2360
60.3,1,0,34,0,2,32,6336,0,1,2360
61.3,1,0,35,0,2,33,6336,0,1,2360
62.3,1,0,36,0,2,34,6336,0,1,2360
